Accident_index,District,Accident_location,GPS_X,GPS_Y
1,Tanzi,9,120.710241,24.202642
2,West,,120.673526,24.136619
3,Longjing,,120.590968,24.182302
4,Dali,1,120.691723,24.100535
5,Wuri,2,120.637437,24.096761
6,Kamioka,,120.695786,24.248323
7,West,,120.659687,24.157317
8,North,1,120.671456,24.17374
9,West,1,120.653882,24.149942
10,Beitun,2,120.685577,24.174551
11,Dali,1,120.702829,24.098206
12,Nantun,,120.647501,24.133489
13,Kamioka,,120.68612,24.250936
14,Dali,,120.736729,24.085683
15,Beitun,1,120.67375,24.186487
16,Xinshe,9,120.79677,24.213228
17,Dadu,9,120.580009,24.16854
18,Dongshi,9,120.829573,24.251686
19,Shalu,,120.601999,24.249
20,Nantun,2,120.643867,24.136569
21,Dali,,120.690058,24.100778
22,Taiping,2,120.719311,24.12593
23,Taiping,19,120.715305,24.127021
24,Wuri,,120.615627,24.113977
25,Longjing,,120.535938,24.206455
26,West,1,120.668527,24.132092
27,Beitun,1,120.669466,24.177235
28,Shalu,,120.580087,24.250066
29,Beitun,1,120.680502,24.180582
30,Wuqi,1,120.530185,24.253795
31,Dali,,120.694903,24.101542
32,Xitun,,120.653327,24.167679
33,Shalu,,120.564466,24.238093
34,Dongshi,9,120.772058,24.314639
35,Tanzi,,120.704538,24.20096
36,Qingshui,1,120.57195,24.261063
37,Shigang,9,120.777146,24.276393
38,Tanzi,,120.702701,24.195618
39,Beitun,8,120.724381,24.181111
40,Beitun,,120.711483,24.180869
41,East,1,120.699906,24.142791
42,Dali,,120.682144,24.105296
43,Taiping,9,120.725954,24.149503
44,Tanzi,1,120.707124,24.224066
45,Dali,,120.67741,24.086567
46,Taiping,,120.710171,24.113167
47,Beitun,,120.715377,24.160324
48,Daya,,120.642296,24.217715
49,Xitun,1,120.617001,24.188664
50,Kamioka,1,120.696996,24.256947
51,Wuqi,1,120.525631,24.225621
52,Dali,8,120.689649,24.093326
53,Dali,9,120.689431,24.11721
54,North,,120.665774,24.15459
55,Wuri,9,120.645427,24.096302
56,South,,120.661091,24.120679
57,Waipu,9,120.698718,24.347149
58,Longjing,9,120.549474,24.208298
59,Fengyuan,9,120.745354,24.255116
60,South,7,120.670201,24.116913
61,Kamioka,2,120.689138,24.250033
62,North,,120.676489,24.159195
63,Taiping,2,120.714574,24.126547
64,Kamioka,,120.684161,24.246487
65,Tanzi,1,120.731313,24.215162
66,Central,,120.682212,24.135899
67,Xitun,,120.634005,24.179341
68,Kamioka,,120.678277,24.249626
69,Beitun,,120.693087,24.163482
70,Xitun,18,120.634242,24.175274
71,Wuqi,9,120.53443,24.261325
72,Xitun,,120.633084,24.17237
73,Qingshui,,120.568088,24.271741
74,Nantun,8,120.585375,24.166733
75,Kamioka,1,120.67663,24.235014
76,North,9,120.697438,24.156511
77,Beitun,1,120.689293,24.177008
78,Nantun,1,120.638444,24.15135
79,Taiping,,120.716845,24.131586
80,North,,120.693817,24.157646
81,East,9,120.686366,24.131705
82,Fengyuan,9,120.745574,24.274479
83,Daya,,120.635891,24.206387
84,Shalu,,120.562707,24.24322
85,West,9,120.659321,24.147708
86,West,1,120.675301,24.141665
