Accident_index,Road_category,Speed_limit,Road_type,Pavement,Road_defect,Signal_type,GPS_X,GPS_Y
1,6,50,13,1,4,4,120.710241,24.202642
2,6,50,,,,,120.673526,24.136619
3,6,40,,,,,120.590968,24.182302
4,6,50,3,1,4,4,120.691723,24.100535
5,6,50,4,1,4,3,120.637437,24.096761
6,6,50,,,,,120.695786,24.248323
7,6,50,,,,,120.659687,24.157317
8,6,50,4,1,4,2,120.671456,24.17374
9,6,30,4,1,4,1,120.653882,24.149942
10,6,50,4,1,4,1,120.685577,24.174551
11,6,30,3,1,4,4,120.702829,24.098206
12,6,50,,,,,120.647501,24.133489
13,6,50,,,,,120.68612,24.250936
14,6,30,,,,,120.736729,24.085683
15,6,50,4,1,4,1,120.67375,24.186487
16,6,40,13,1,4,4,120.79677,24.213228
17,6,50,13,1,4,4,120.580009,24.16854
18,6,50,5,1,4,4,120.829573,24.251686
19,6,60,,,,,120.601999,24.249
20,6,50,3,1,4,4,120.643867,24.136569
21,6,60,,,,,120.690058,24.100778
22,6,30,4,1,4,4,120.719311,24.12593
23,6,50,3,1,4,4,120.715305,24.127021
24,6,50,,,,,120.615627,24.113977
25,6,40,,,,,120.535938,24.206455
26,6,50,5,1,4,2,120.668527,24.132092
27,6,50,4,1,4,2,120.669466,24.177235
28,6,60,,,,,120.580087,24.250066
29,6,15,4,1,4,4,120.680502,24.180582
30,6,50,4,1,4,1,120.530185,24.253795
31,6,50,,,,,120.694903,24.101542
32,6,50,,,,,120.653327,24.167679
33,6,40,,,,,120.564466,24.238093
34,6,40,11,1,4,4,120.772058,24.314639
35,6,50,,,,,120.704538,24.20096
36,6,50,4,1,4,3,120.57195,24.261063
37,6,50,3,1,4,4,120.777146,24.276393
38,6,60,,,,,120.702701,24.195618
39,6,50,11,1,4,4,120.724381,24.181111
40,6,50,,,,,120.711483,24.180869
41,6,50,4,1,4,1,120.699906,24.142791
42,6,30,,,,,120.682144,24.105296
43,6,30,11,1,4,4,120.725954,24.149503
44,6,60,3,1,4,1,120.707124,24.224066
45,6,60,,,,,120.67741,24.086567
46,6,30,,,,,120.710171,24.113167
47,6,50,,,,,120.715377,24.160324
48,6,30,,,,,120.642296,24.217715
49,6,50,4,1,4,1,120.617001,24.188664
50,6,30,3,1,4,4,120.696996,24.256947
51,6,60,3,1,4,3,120.525631,24.225621
52,6,50,8,1,4,4,120.689649,24.093326
53,6,50,13,1,4,4,120.689431,24.11721
54,6,30,,,,,120.665774,24.15459
55,6,30,11,1,4,4,120.645427,24.096302
56,6,50,,,,,120.661091,24.120679
57,6,30,13,1,4,4,120.698718,24.347149
58,6,50,13,1,4,4,120.549474,24.208298
59,6,40,13,1,4,1,120.745354,24.255116
60,6,50,13,1,4,4,120.670201,24.116913
61,6,30,3,1,4,4,120.689138,24.250033
62,6,50,,,,,120.676489,24.159195
63,6,50,3,1,4,4,120.714574,24.126547
64,6,50,,,,,120.684161,24.246487
65,6,30,3,1,4,4,120.731313,24.215162
66,6,50,,,,,120.682212,24.135899
67,6,30,,,,,120.634005,24.179341
68,6,50,,,,,120.678277,24.249626
69,6,50,,,,,120.693087,24.163482
70,6,40,13,1,4,4,120.634242,24.175274
71,6,50,13,1,4,4,120.53443,24.261325
72,6,80,,,,,120.633084,24.17237
73,6,50,,,,,120.568088,24.271741
74,6,50,13,1,4,4,120.585375,24.166733
75,6,50,3,1,4,4,120.67663,24.235014
76,6,50,13,1,4,4,120.697438,24.156511
77,6,50,3,1,4,4,120.689293,24.177008
78,6,40,3,1,4,4,120.638444,24.15135
79,6,40,,,,,120.716845,24.131586
80,6,50,,,,,120.693817,24.157646
81,6,50,13,1,4,4,120.686366,24.131705
82,6,30,13,1,4,4,120.745574,24.274479
83,6,30,,,,,120.635891,24.206387
84,6,50,,,,,120.562707,24.24322
85,6,50,13,1,4,4,120.659321,24.147708
86,6,50,3,1,4,4,120.675301,24.141665
87,6,50,13,1,4,4,120.540815,24.256015
88,6,50,13,1,4,4,120.72457,24.117287
89,6,40,4,1,4,1,120.680948,24.159108
90,6,50,,,,,120.656758,24.169442
91,6,50,13,1,4,4,120.615711,24.189477
92,6,70,4,1,4,1,120.53675,24.249928
93,6,30,13,1,4,4,120.741797,24.332331
94,6,50,4,1,4,4,120.640452,24.136077
95,6,50,,,,,120.692064,24.182714
96,6,30,,,,,120.637883,24.172571
97,6,60,,,,,120.647333,24.062495
98,6,50,,,,,120.811654,24.190177
99,6,60,,,,,120.695526,24.058685
100,6,30,3,1,4,4,120.700683,24.087064
101,6,50,13,1,4,4,120.67576,24.131219
102,6,30,,,,,120.682963,24.158029
103,6,50,,,,,120.677033,24.130659
104,6,50,13,1,4,4,120.681486,24.167306
105,6,30,3,1,4,4,120.717854,24.140454
106,6,30,,,,,120.682215,24.192052
107,6,50,13,1,4,4,120.677922,24.24978
108,6,50,,,,,120.656262,24.169921
109,6,50,,,,,120.686649,24.155888
110,6,50,,,,,120.667695,24.169728
111,6,50,4,1,4,3,120.718321,24.131553
112,6,50,,,,,120.652408,24.113134
113,6,50,4,1,4,2,120.688004,24.174274
114,6,50,,,,,120.634845,24.160867
115,6,30,3,1,4,4,120.719549,24.098045
116,6,50,13,1,4,4,120.708746,24.310858
117,6,50,13,1,4,4,120.694905,24.176635
118,6,50,3,1,4,3,120.679611,24.095471
119,6,40,,,,,120.632872,24.204597
120,6,50,4,1,4,1,120.637112,24.179273
121,6,50,13,1,4,4,120.728133,24.114533
122,6,50,,,,,120.650543,24.15395
123,6,50,,,,,120.691713,24.164976
124,6,50,,,,,120.610145,24.187037
125,6,50,3,1,4,4,120.627909,24.119275
126,6,30,,,,,120.523287,24.203096
127,6,50,,,,,120.676233,24.158299
128,6,50,3,1,4,1,120.684947,24.13522
129,6,50,4,1,4,1,120.715362,24.151987
130,6,50,,,,,120.637863,24.14234
131,6,60,3,1,4,4,120.810892,24.281565
132,6,50,4,1,4,1,120.735912,24.260557
133,6,50,14,1,4,4,120.575053,24.26886
134,6,50,5,1,4,2,120.69041,24.170262
135,6,50,4,1,4,4,120.669581,24.142755
136,6,50,3,1,4,1,120.649827,24.148829
137,6,40,,,,,120.562117,24.245794
138,6,50,3,1,4,2,120.61403,24.139166
139,6,50,4,1,4,1,120.673638,24.15573
140,6,50,,,,,120.624649,24.106111
141,6,50,13,1,4,4,120.648683,24.137066
142,6,50,,,,,120.732009,24.171991
143,6,70,,,,,120.548336,24.143288
144,6,50,4,1,4,2,120.665269,24.149019
145,6,50,3,1,4,1,120.699985,24.075629
146,6,50,3,1,4,4,120.647016,24.405824
147,6,50,,,,,120.567155,24.204955
148,6,50,,,,,120.679126,24.170131
149,6,50,4,1,4,1,120.716685,24.308417
150,6,50,13,1,4,4,120.530342,24.174872
151,6,50,,,,,120.606433,24.186537
152,6,50,,,,,120.656348,24.163913
153,6,40,3,1,4,1,120.544008,24.247068
154,6,30,,,,,120.636688,24.208603
155,6,50,3,1,4,4,120.698315,24.149374
156,6,50,3,1,4,4,120.648952,24.145732
157,6,50,4,1,4,1,120.681293,24.115178
158,6,50,13,1,4,4,120.722216,24.145913
159,6,30,13,1,4,4,120.611656,24.138851
160,6,50,,,,,120.68126,24.115307
161,6,40,3,1,4,4,120.704788,24.124851
162,6,50,3,1,4,1,120.668708,24.219868
163,6,50,4,1,4,4,120.620479,24.351691
164,6,50,3,1,4,4,120.646338,24.169339
165,6,50,4,1,4,1,120.664078,24.086702
166,6,30,3,1,4,4,120.582026,24.185765
167,6,60,3,1,4,4,120.706001,24.219044
168,6,50,,,,,120.721357,24.155011
169,6,50,,,,,120.656421,24.160367
170,6,50,4,1,4,2,120.58412,24.182038
171,6,50,4,1,4,2,120.652407,24.159681
172,6,60,,,,,120.62904,24.163157
173,6,25,11,1,4,4,120.793189,24.205412
174,6,30,4,1,4,4,120.812291,24.197603
175,6,50,,,,,120.730909,24.159307
176,6,50,,,,,120.659405,24.165603
177,6,50,,,,,120.675422,24.157522
178,6,50,13,1,4,4,120.639737,24.161208
179,6,50,,,,,120.701159,24.187246
180,6,50,13,1,4,4,120.645778,24.340424
181,6,50,4,1,4,4,120.724081,24.136397
182,6,30,,,,,120.627834,24.183079
183,6,40,,,,,120.54375,24.255989
184,6,40,13,1,4,4,120.64312,24.16662
185,6,50,4,1,4,1,120.569341,24.271643
186,6,40,,,,,120.702976,24.213269
187,6,40,13,1,4,4,120.634736,24.150273
188,6,50,,,,,120.711519,24.242488
189,6,40,13,1,4,4,120.671428,24.172764
190,6,30,,,,,120.639401,24.170743
191,6,30,4,1,4,4,120.706835,24.082219
192,6,50,,,,,120.636528,24.170784
193,6,40,4,1,4,1,120.702219,24.138856
194,6,50,13,1,4,4,120.613643,24.229798
195,6,40,3,1,4,4,120.654398,24.138304
196,6,50,5,1,4,4,120.649749,24.227214
197,6,50,,,,,120.671521,24.173929
198,6,40,,,,,120.661743,24.189379
199,6,50,4,1,4,1,120.627094,24.181222
200,6,60,13,1,4,4,120.689056,24.077571
201,6,50,,,,,120.622643,24.150214
202,6,50,3,1,4,4,120.645407,24.150992
203,6,50,11,1,4,4,120.701199,24.121864
204,6,60,,,,,120.631206,24.104986
205,6,30,,,,,120.617101,24.185403
206,6,50,,,,,120.693546,24.155611
207,6,50,,,,,120.688693,24.103145
208,6,50,,,,,120.617848,24.153729
209,6,1,,,,,120.656759,24.166014
210,6,50,,,,,120.587826,24.185948
211,6,50,3,1,4,2,120.581499,24.282091
212,6,30,13,1,4,4,120.658726,24.240021
213,6,50,13,1,4,4,120.695534,24.238142
214,6,30,,,,,120.576503,24.182396
215,6,50,4,1,4,1,120.684871,24.163423
216,6,50,3,1,4,4,120.698752,24.094366
217,6,30,,,,,120.650316,24.092795
218,6,50,4,1,4,1,120.70151,24.138917
219,6,30,13,1,4,4,120.616634,24.186166
220,6,50,,,,,120.694321,24.165547
221,6,50,4,1,4,1,120.677239,24.140214
222,6,50,,,,,120.683292,24.142007
223,6,50,,,,,120.699425,24.176389
224,6,50,3,1,4,1,120.669247,24.166837
225,6,60,3,1,4,2,120.707632,24.225728
226,6,50,,,,,120.667403,24.114285
227,6,50,,,,,120.584579,24.183462
228,6,30,4,1,4,4,120.740728,24.251764
229,6,30,,,,,120.594301,24.218387
230,6,50,4,1,4,1,120.566909,24.229288
231,6,40,,,,,120.720721,24.168662
232,6,50,,,,,120.719034,24.162008
233,6,30,,,,,120.641943,24.208254
234,6,50,4,1,4,4,120.721219,24.250806
235,6,50,,,,,120.576268,24.272476
236,6,50,4,1,4,1,120.665117,24.156691
237,6,50,,,,,120.685566,24.169886
238,6,50,,,,,120.611113,24.19104
239,6,30,,,,,120.71409,24.115872
240,6,50,4,1,4,2,120.68627,24.185439
241,6,50,,,,,120.698526,24.139017
242,6,30,11,1,4,4,120.729939,24.134599
243,6,50,,,,,120.638819,24.181318
244,6,30,,,,,120.570158,24.222058
245,6,50,4,1,4,1,120.671999,24.13511
246,6,30,,,,,120.607561,24.185253
247,6,50,,,,,120.685648,24.177873
248,6,50,13,1,4,4,120.715273,24.148915
249,6,50,4,1,4,1,120.685597,24.153832
250,6,50,4,1,4,4,120.682848,24.130741
251,6,50,,,,,120.654738,24.152468
252,6,50,4,1,4,4,120.618199,24.1052
253,6,50,,,,,120.718907,24.183893
254,6,50,,,,,120.636901,24.164395
255,6,30,,,,,120.536292,24.271805
256,6,50,,,,,120.687074,24.246997
257,6,50,4,1,4,1,120.667305,24.140607
258,6,50,,,,,120.646456,24.12953
259,6,40,13,1,4,4,120.645877,24.172452
260,6,50,,,,,120.685467,24.10084
261,6,50,13,1,4,4,120.582297,24.177854
262,6,50,13,1,4,4,120.658839,24.262015
263,6,40,,,,,120.6595,24.133598
264,6,50,,,,,120.63996,24.151539
265,6,50,4,1,4,1,120.646536,24.134684
266,6,50,,,,,120.712135,24.132843
267,6,50,,,,,120.721987,24.30726
268,6,50,3,1,4,4,120.667065,24.178036
269,6,50,,,,,120.562988,24.236709
270,6,60,,,,,120.645261,24.225089
271,6,50,,,,,120.671102,24.25632
272,6,30,13,1,2,4,120.706949,24.121433
273,6,50,,,,,120.544053,24.155793
274,6,80,,,,,120.722447,24.1901
275,6,50,,,,,120.729061,24.255169
276,6,50,,,,,120.654264,24.169273
277,6,,,,,,120.657471,24.142711
278,6,50,4,1,4,1,120.722429,24.303062
279,6,50,4,1,4,1,120.729458,24.252391
280,6,50,13,1,4,3,120.718721,24.127615
281,6,50,,,,,120.537656,24.268688
282,6,30,4,1,4,4,120.689209,24.143254
283,6,50,,,,,120.657589,24.15302
284,6,30,13,1,4,4,120.669853,24.110557
285,6,50,13,1,4,4,120.616219,24.110055
286,6,50,3,1,4,4,120.676668,24.152213
287,6,60,,,,,120.549791,24.285255
288,6,50,,,,,120.633765,24.123642
289,6,50,4,1,4,1,120.70151,24.125407
290,6,50,3,1,4,4,120.645662,24.134688
291,6,50,4,1,4,4,120.556556,24.232455
292,6,30,3,1,4,4,120.691249,24.149796
293,6,50,3,1,4,3,120.733568,24.118968
294,6,50,,,,,120.715791,24.25128
295,6,60,,,,,120.573203,24.188274
296,6,50,,,,,120.629748,24.353677
297,6,40,3,1,4,2,120.691359,24.164956
298,6,50,4,1,4,2,120.635213,24.151303
299,6,60,13,1,4,4,120.675418,24.102808
300,6,30,,,,,120.697408,24.128629
301,6,50,4,1,4,4,120.643823,24.153675
302,6,60,13,1,4,4,120.537012,24.251362
303,6,50,,,,,120.642191,24.13509
304,6,50,4,1,4,1,120.643401,24.228173
305,6,40,,,,,120.639653,24.158213
306,6,50,13,1,4,4,120.573571,24.239053
307,6,50,,,,,120.624612,24.179231
308,6,50,,,,,120.561803,24.236821
309,6,50,,,,,120.722423,24.260487
310,6,40,4,1,4,2,120.653258,24.160817
311,6,30,4,1,4,4,120.543546,24.202309
312,6,70,,,,,120.606509,24.108492
313,6,50,3,1,4,2,120.611863,24.135456
314,6,30,3,1,4,1,120.718851,24.07975
315,6,50,,,,,120.60966,24.138393
316,6,50,,,,,120.607796,24.195564
317,6,50,,,,,120.707645,24.111793
318,6,70,,,,,120.68847,24.201012
319,6,50,,,,,120.640839,24.173452
320,6,50,3,1,4,4,120.640239,24.176293
321,6,50,4,1,4,2,120.71563,24.251408
322,6,50,,,,,120.635879,24.181852
323,6,40,13,1,4,4,120.693053,24.104293
324,6,50,,,,,120.722209,24.249794
325,6,80,,,,,120.696194,24.200879
326,6,30,11,1,4,4,120.556475,24.272592
327,6,50,13,1,4,4,120.552386,24.21615
328,6,30,,,,,120.648149,24.182959
329,6,30,3,1,4,4,120.541618,24.186977
330,6,50,13,1,4,4,120.56586,24.235623
331,6,50,4,1,4,1,120.679016,24.161664
332,6,50,,,,,120.607989,24.158196
333,6,30,11,1,4,4,120.60199,24.240137
334,6,60,,,,,120.565829,24.204696
335,6,50,,,,,120.639485,24.142106
336,6,50,4,1,4,1,120.681059,24.158104
337,6,50,,,,,120.56049,24.239009
338,6,50,,,,,120.684698,24.140526
339,6,50,4,1,4,1,120.65389,24.155776
340,6,50,,,,,120.681078,24.161839
341,6,50,11,1,4,4,120.590411,24.24452
342,6,50,,,,,120.690099,24.215811
343,6,50,4,1,4,2,120.646681,24.153613
344,6,30,,,,,120.665865,24.154634
345,6,30,4,1,4,1,120.648255,24.182783
346,6,50,,,,,120.663884,24.157614
347,6,50,13,1,4,1,120.563734,24.123722
348,6,30,,,,,120.572693,24.24167
349,6,30,,,,,120.651689,24.22636
350,6,60,13,1,4,4,120.731541,24.337957
351,6,50,13,1,4,4,120.640024,24.146935
352,6,50,,,,,120.716017,24.174872
353,6,60,4,1,4,1,120.667044,24.105244
354,6,50,13,1,4,4,120.716614,24.15124
355,6,50,,,,,120.701676,24.13172
356,6,50,4,1,4,1,120.645068,24.132012
357,6,50,13,1,4,4,120.616316,24.186132
