Accident_index,Climate,Light,Road_condition,Protective_equipement,Action_status,Drinking_situation,Impact_site,Run_away
1,6,1,4,1,9,2,11,1
2,5,,,,,1,,1
3,6,,,,,2,,1
4,7,2,5,3,7,2,5,1
5,7,1,5,3,9,2,7,1
6,7,,,,,2,,1
7,7,,,,,1,,1
8,7,1,5,1,9,2,11,1
9,7,1,5,2,9,2,14,1
10,5,1,4,3,6,2,1,1
11,7,1,5,3,9,2,1,1
12,7,,,,,1,,1
13,7,,,,,9,,2
14,7,,,,,10,,1
15,7,2,5,1,9,2,11,1
16,7,3,5,,,,,1
17,7,2,5,3,15,2,8,1
18,7,3,5,1,5,2,14,1
19,7,,,,,2,,1
20,7,1,5,5,13,2,2,1
21,7,,,,,2,,1
22,7,2,5,5,9,2,5,1
23,7,3,5,3,9,2,1,1
24,7,,,,,2,,1
25,7,,,,,11,,1
26,7,3,5,1,6,2,14,1
27,7,2,5,1,5,2,12,1
28,7,,,,,2,,1
29,7,2,5,3,9,2,4,1
30,7,2,5,1,6,2,14,1
31,7,,,,,2,,1
32,7,,,,,1,,1
33,7,,,,,2,,1
34,7,3,5,,,2,,1
35,7,,,,,2,,1
36,7,3,5,1,6,2,12,1
37,7,3,5,,,2,,1
38,7,,,,,2,,1
39,7,2,5,,,1,,1
40,7,,,,,1,,1
41,7,2,5,1,9,2,12,1
42,7,,,,,2,,1
43,7,2,5,1,9,2,11,1
44,7,3,5,2,9,2,12,1
45,7,,,,,2,,1
46,7,,,,,2,,1
47,7,,,,,1,,1
48,7,,,,,1,,1
49,7,2,5,3,6,2,1,1
50,7,1,5,1,6,2,11,1
51,7,2,5,3,5,2,2,1
52,7,2,5,1,9,2,11,1
53,7,3,5,1,9,2,13,1
54,7,,,,,2,,1
55,7,2,5,3,6,2,8,1
56,7,,,,,2,,1
57,7,2,5,3,9,2,2,1
58,6,2,5,3,9,2,1,1
59,7,2,5,5,14,2,2,1
60,7,2,5,2,9,2,11,1
61,7,3,4,5,9,2,14,1
62,7,,,,,1,,1
63,7,2,5,1,1,2,14,1
