Accident_index,Year,Month,Day,Hour,Minute,Timestamp
1,2023,9,1,0,0,1693526400
2,2023,9,1,0,12,1693527120
3,2023,9,1,0,15,1693527300
4,2023,9,1,0,36,1693528560
5,2023,9,1,0,38,1693528680
6,2023,9,1,1,11,1693530660
7,2023,9,1,2,18,1693534680
8,2023,9,1,2,45,1693536300
9,2023,9,1,2,50,1693536600
10,2023,9,1,2,50,1693536600
11,2023,9,1,3,38,1693539480
12,2023,9,1,4,12,1693541520
13,2023,9,1,6,14,1693548840
14,2023,9,1,6,24,1693549440
15,2023,9,1,6,37,1693550220
16,2023,9,1,6,47,1693550820
17,2023,9,1,6,58,1693551480
18,2023,9,1,6,59,1693551540
19,2023,9,1,7,0,1693551600
20,2023,9,1,7,10,1693552200
21,2023,9,1,7,12,1693552320
22,2023,9,1,7,13,1693552380
23,2023,9,1,7,17,1693552620
24,2023,9,1,7,18,1693552680
25,2023,9,1,7,19,1693552740
26,2023,9,1,7,21,1693552860
27,2023,9,1,7,22,1693552920
28,2023,9,1,7,25,1693553100
29,2023,9,1,7,29,1693553340
30,2023,9,1,7,30,1693553400
31,2023,9,1,7,31,1693553460
32,2023,9,1,7,35,1693553700
33,2023,9,1,7,36,1693553760
34,2023,9,1,7,36,1693553760
35,2023,9,1,7,39,1693553940
36,2023,9,1,7,40,1693554000
37,2023,9,1,7,40,1693554000
38,2023,9,1,7,43,1693554180
39,2023,9,1,7,43,1693554180
40,2023,9,1,7,43,1693554180
41,2023,9,1,7,45,1693554300
42,2023,9,1,7,46,1693554360
43,2023,9,1,7,47,1693554420
44,2023,9,1,7,48,1693554480
45,2023,9,1,7,48,1693554480
46,2023,9,1,7,48,1693554480
47,2023,9,1,7,49,1693554540
48,2023,9,1,7,50,1693554600
49,2023,9,1,7,50,1693554600
50,2023,9,1,7,50,1693554600
51,2023,9,1,7,52,1693554720
52,2023,9,1,8,2,1693555320
53,2023,9,1,8,5,1693555500
54,2023,9,1,8,10,1693555800
55,2023,9,1,8,10,1693555800
56,2023,9,1,8,11,1693555860
57,2023,9,1,8,14,1693556040
58,2023,9,1,8,15,1693556100
59,2023,9,1,8,17,1693556220
60,2023,9,1,8,18,1693556280
61,2023,9,1,8,19,1693556340
62,2023,9,1,8,20,1693556400
63,2023,9,1,8,20,1693556400
64,2023,9,1,8,23,1693556580
65,2023,9,1,8,24,1693556640
66,2023,9,1,8,24,1693556640
67,2023,9,1,8,26,1693556760
68,2023,9,1,8,29,1693556940
69,2023,9,1,8,30,1693557000
70,2023,9,1,8,30,1693557000
71,2023,9,1,8,34,1693557240
72,2023,9,1,8,36,1693557360
73,2023,9,1,8,38,1693557480
74,2023,9,1,8,39,1693557540
75,2023,9,1,8,44,1693557840
76,2023,9,1,8,45,1693557900
77,2023,9,1,8,53,1693558380
78,2023,9,1,8,56,1693558560
79,2023,9,1,9,1,1693558860
80,2023,9,1,9,6,1693559160
81,2023,9,1,9,7,1693559220
82,2023,9,1,9,12,1693559520
83,2023,9,1,9,15,1693559700
84,2023,9,1,9,15,1693559700
85,2023,9,1,9,29,1693560540
86,2023,9,1,9,31,1693560660
87,2023,9,1,9,34,1693560840
88,2023,9,1,9,35,1693560900
89,2023,9,1,9,42,1693561320
90,2023,9,1,9,42,1693561320
91,2023,9,1,9,44,1693561440
92,2023,9,1,9,46,1693561560
93,2023,9,1,9,50,1693561800
94,2023,9,1,9,56,1693562160
95,2023,9,1,9,57,1693562220
96,2023,9,1,10,1,1693562460
97,2023,9,1,10,1,1693562460
98,2023,9,1,10,4,1693562640
99,2023,9,1,10,9,1693562940
100,2023,9,1,10,10,1693563000
101,2023,9,1,10,18,1693563480
102,2023,9,1,10,20,1693563600
103,2023,9,1,10,20,1693563600
104,2023,9,1,10,22,1693563720
105,2023,9,1,10,22,1693563720
106,2023,9,1,10,23,1693563780
107,2023,9,1,10,23,1693563780
108,2023,9,1,10,26,1693563960
109,2023,9,1,10,29,1693564140
110,2023,9,1,10,30,1693564200
111,2023,9,1,10,30,1693564200
112,2023,9,1,10,31,1693564260
113,2023,9,1,10,35,1693564500
114,2023,9,1,10,39,1693564740
115,2023,9,1,10,43,1693564980
116,2023,9,1,10,51,1693565460
117,2023,9,1,10,53,1693565580
118,2023,9,1,10,55,1693565700
119,2023,9,1,10,57,1693565820
120,2023,9,1,10,58,1693565880
121,2023,9,1,10,59,1693565940
122,2023,9,1,11,0,1693566000
123,2023,9,1,11,0,1693566000
124,2023,9,1,11,0,1693566000
125,2023,9,1,11,1,1693566060
126,2023,9,1,11,3,1693566180
127,2023,9,1,11,4,1693566240
128,2023,9,1,11,5,1693566300
129,2023,9,1,11,7,1693566420
130,2023,9,1,11,8,1693566480
131,2023,9,1,11,11,1693566660
132,2023,9,1,11,11,1693566660
133,2023,9,1,11,14,1693566840
134,2023,9,1,11,16,1693566960
135,2023,9,1,11,19,1693567140
136,2023,9,1,11,20,1693567200
137,2023,9,1,11,20,1693567200
138,2023,9,1,11,25,1693567500
139,2023,9,1,11,26,1693567560
140,2023,9,1,11,26,1693567560
141,2023,9,1,11,28,1693567680
142,2023,9,1,11,29,1693567740
143,2023,9,1,11,30,1693567800
144,2023,9,1,11,38,1693568280
145,2023,9,1,11,38,1693568280
146,2023,9,1,11,42,1693568520
147,2023,9,1,11,50,1693569000
148,2023,9,1,11,55,1693569300
149,2023,9,1,11,59,1693569540
150,2023,9,1,12,0,1693569600
151,2023,9,1,12,3,1693569780
152,2023,9,1,12,4,1693569840
153,2023,9,1,12,4,1693569840
154,2023,9,1,12,5,1693569900
155,2023,9,1,12,5,1693569900
156,2023,9,1,12,5,1693569900
157,2023,9,1,12,7,1693570020
158,2023,9,1,12,7,1693570020
159,2023,9,1,12,8,1693570080
160,2023,9,1,12,8,1693570080
161,2023,9,1,12,15,1693570500
162,2023,9,1,12,16,1693570560
163,2023,9,1,12,28,1693571280
164,2023,9,1,12,32,1693571520
165,2023,9,1,12,32,1693571520
166,2023,9,1,12,33,1693571580
167,2023,9,1,12,34,1693571640
168,2023,9,1,12,34,1693571640
169,2023,9,1,12,40,1693572000
170,2023,9,1,12,40,1693572000
171,2023,9,1,12,41,1693572060
172,2023,9,1,12,43,1693572180
173,2023,9,1,12,44,1693572240
174,2023,9,1,12,53,1693572780
175,2023,9,1,12,55,1693572900
176,2023,9,1,12,55,1693572900
177,2023,9,1,13,0,1693573200
178,2023,9,1,13,3,1693573380
179,2023,9,1,13,5,1693573500
180,2023,9,1,13,5,1693573500
181,2023,9,1,13,6,1693573560
182,2023,9,1,13,9,1693573740
183,2023,9,1,13,12,1693573920
184,2023,9,1,13,13,1693573980
185,2023,9,1,13,13,1693573980
186,2023,9,1,13,17,1693574220
187,2023,9,1,13,19,1693574340
188,2023,9,1,13,23,1693574580
189,2023,9,1,13,26,1693574760
190,2023,9,1,13,30,1693575000
191,2023,9,1,13,30,1693575000
192,2023,9,1,13,31,1693575060
193,2023,9,1,13,40,1693575600
194,2023,9,1,13,50,1693576200
195,2023,9,1,13,50,1693576200
196,2023,9,1,13,52,1693576320
197,2023,9,1,14,6,1693577160
198,2023,9,1,14,14,1693577640
199,2023,9,1,14,15,1693577700
200,2023,9,1,14,15,1693577700
201,2023,9,1,14,17,1693577820
202,2023,9,1,14,18,1693577880
203,2023,9,1,14,22,1693578120
204,2023,9,1,14,22,1693578120
205,2023,9,1,14,27,1693578420
206,2023,9,1,14,28,1693578480
207,2023,9,1,14,31,1693578660
208,2023,9,1,14,33,1693578780
209,2023,9,1,14,35,1693578900
210,2023,9,1,14,35,1693578900
211,2023,9,1,14,35,1693578900
212,2023,9,1,14,37,1693579020
213,2023,9,1,14,39,1693579140
214,2023,9,1,14,40,1693579200
215,2023,9,1,14,43,1693579380
216,2023,9,1,14,44,1693579440
217,2023,9,1,14,45,1693579500
218,2023,9,1,14,50,1693579800
219,2023,9,1,14,50,1693579800
220,2023,9,1,14,52,1693579920
221,2023,9,1,15,0,1693580400
222,2023,9,1,15,2,1693580520
223,2023,9,1,15,3,1693580580
224,2023,9,1,15,6,1693580760
225,2023,9,1,15,8,1693580880
226,2023,9,1,15,10,1693581000
227,2023,9,1,15,13,1693581180
228,2023,9,1,15,15,1693581300
229,2023,9,1,15,18,1693581480
230,2023,9,1,15,22,1693581720
231,2023,9,1,15,33,1693582380
232,2023,9,1,15,33,1693582380
233,2023,9,1,15,35,1693582500
234,2023,9,1,15,39,1693582740
235,2023,9,1,15,43,1693582980
236,2023,9,1,15,44,1693583040
237,2023,9,1,15,45,1693583100
238,2023,9,1,15,46,1693583160
239,2023,9,1,15,46,1693583160
240,2023,9,1,15,47,1693583220
241,2023,9,1,15,48,1693583280
242,2023,9,1,15,48,1693583280
243,2023,9,1,15,50,1693583400
244,2023,9,1,15,50,1693583400
245,2023,9,1,15,51,1693583460
246,2023,9,1,15,54,1693583640
247,2023,9,1,15,55,1693583700
248,2023,9,1,15,57,1693583820
249,2023,9,1,15,58,1693583880
250,2023,9,1,15,59,1693583940
251,2023,9,1,16,0,1693584000
252,2023,9,1,16,1,1693584060
253,2023,9,1,16,3,1693584180
254,2023,9,1,16,5,1693584300
255,2023,9,1,16,5,1693584300
256,2023,9,1,16,10,1693584600
257,2023,9,1,16,11,1693584660
258,2023,9,1,16,11,1693584660
259,2023,9,1,16,13,1693584780
260,2023,9,1,16,13,1693584780
261,2023,9,1,16,13,1693584780
262,2023,9,1,16,14,1693584840
263,2023,9,1,16,16,1693584960
264,2023,9,1,16,16,1693584960
265,2023,9,1,16,17,1693585020
266,2023,9,1,16,17,1693585020
267,2023,9,1,16,17,1693585020
268,2023,9,1,16,18,1693585080
269,2023,9,1,16,18,1693585080
270,2023,9,1,16,20,1693585200
271,2023,9,1,16,20,1693585200
272,2023,9,1,16,24,1693585440
273,2023,9,1,16,30,1693585800
274,2023,9,1,16,31,1693585860
275,2023,9,1,16,32,1693585920
276,2023,9,1,16,37,1693586220
277,2023,9,1,16,39,1693586340
278,2023,9,1,16,39,1693586340
279,2023,9,1,16,42,1693586520
280,2023,9,1,16,43,1693586580
281,2023,9,1,16,45,1693586700
282,2023,9,1,16,50,1693587000
283,2023,9,1,16,51,1693587060
284,2023,9,1,16,51,1693587060
285,2023,9,1,16,52,1693587120
286,2023,9,1,16,54,1693587240
287,2023,9,1,16,55,1693587300
288,2023,9,1,16,56,1693587360
289,2023,9,1,16,57,1693587420
290,2023,9,1,16,58,1693587480
291,2023,9,1,16,58,1693587480
292,2023,9,1,17,0,1693587600
293,2023,9,1,17,1,1693587660
294,2023,9,1,17,5,1693587900
295,2023,9,1,17,10,1693588200
296,2023,9,1,17,12,1693588320
297,2023,9,1,17,15,1693588500
298,2023,9,1,17,16,1693588560
299,2023,9,1,17,18,1693588680
300,2023,9,1,17,20,1693588800
301,2023,9,1,17,20,1693588800
302,2023,9,1,17,20,1693588800
303,2023,9,1,17,21,1693588860
304,2023,9,1,17,23,1693588980
305,2023,9,1,17,23,1693588980
306,2023,9,1,17,23,1693588980
307,2023,9,1,17,24,1693589040
308,2023,9,1,17,25,1693589100
309,2023,9,1,17,26,1693589160
310,2023,9,1,17,27,1693589220
311,2023,9,1,17,27,1693589220
312,2023,9,1,17,27,1693589220
313,2023,9,1,17,28,1693589280
314,2023,9,1,17,28,1693589280
315,2023,9,1,17,29,1693589340
316,2023,9,1,17,30,1693589400
317,2023,9,1,17,30,1693589400
318,2023,9,1,17,31,1693589460
319,2023,9,1,17,34,1693589640
320,2023,9,1,17,34,1693589640
321,2023,9,1,17,34,1693589640
322,2023,9,1,17,35,1693589700
323,2023,9,1,17,36,1693589760
324,2023,9,1,17,36,1693589760
325,2023,9,1,17,40,1693590000
326,2023,9,1,17,40,1693590000
327,2023,9,1,17,42,1693590120
328,2023,9,1,17,43,1693590180
329,2023,9,1,17,43,1693590180
330,2023,9,1,17,44,1693590240
331,2023,9,1,17,45,1693590300
332,2023,9,1,17,46,1693590360
333,2023,9,1,17,46,1693590360
334,2023,9,1,17,51,1693590660
335,2023,9,1,17,52,1693590720
336,2023,9,1,17,53,1693590780
337,2023,9,1,17,55,1693590900
338,2023,9,1,17,57,1693591020
339,2023,9,1,17,57,1693591020
340,2023,9,1,17,58,1693591080
341,2023,9,1,17,59,1693591140
342,2023,9,1,18,1,1693591260
343,2023,9,1,18,1,1693591260
344,2023,9,1,18,2,1693591320
345,2023,9,1,18,2,1693591320
346,2023,9,1,18,10,1693591800
347,2023,9,1,18,11,1693591860
348,2023,9,1,18,11,1693591860
349,2023,9,1,18,15,1693592100
350,2023,9,1,18,15,1693592100
351,2023,9,1,18,16,1693592160
352,2023,9,1,18,16,1693592160
353,2023,9,1,18,18,1693592280
354,2023,9,1,18,20,1693592400
355,2023,9,1,18,21,1693592460
356,2023,9,1,18,24,1693592640
357,2023,9,1,18,25,1693592700
358,2023,9,1,18,27,1693592820
359,2023,9,1,18,28,1693592880
360,2023,9,1,18,28,1693592880
361,2023,9,1,18,28,1693592880
362,2023,9,1,18,29,1693592940
363,2023,9,1,18,30,1693593000
364,2023,9,1,18,33,1693593180
